Recency,Frequency,Monetary
325,1,0.0
1,7,4310.0
74,4,1437.24
18,1,1457.55
309,1,294.4
35,7,1265.41
203,1,89.0
231,1,1079.4
213,1,459.4
22,3,2487.43
1,2,928.0600000000001
51,3,2302.06
286,1,174.9
2,10,4665.58
109,2,552.0
7,4,1208.1
290,1,320.69
3,1,150.9
50,4,3421.94
59,1,1527.96
71,3,1196.04
310,1,324.6
24,1,622.93
10,2,375.42
314,2,1548.12
129,1,4008.62
81,2,775.29
21,4,2423.56
4,3,1433.46
184,5,1617.31
28,2,406.16
337,2,401.9
15,6,2780.66
79,1,504.84000000000003
21,1,439.66
71,4,1582.6000000000001
63,2,1080.48
18,12,2662.28
35,2,2214.9
45,1,1435.66
118,4,1033.65
302,1,69.3
322,1,195.6
49,1,391.7
148,1,1390.39
21,2,3280.75
49,5,1507.1200000000001
32,5,2587.7
308,2,521.08
74,3,1142.88
66,3,676.15
216,3,442.41
2,9,3155.8
112,1,668.58
63,1,600.39
15,4,639.04
95,3,683.5600000000001
0,8,1624.11
162,2,1760.96
77,1,777.2
194,1,510.73
21,3,582.37
8,4,3388.4
42,1,216.4
42,4,4359.32
84,2,792.94
99,1,429.01000000000005
13,2,2466.85
366,1,155.55
2,1,144.06
20,5,4085.46
21,1,77.4
57,1,1002.3100000000001
242,1,431.49
43,1,365.45
21,4,3596.29
155,2,197.88
16,1,348.57
133,1,707.09
55,1,0.0
72,5,2339.86
43,3,2553.89
65,6,1597.78
70,2,787.4
154,1,626.88
18,2,872.01
52,4,1175.58
9,8,957.05
16,2,673.89
187,2,652.04
53,3,2545.27
53,1,669.38
15,11,5657.85
3,1,545.99
10,1,428.3
27,4,2885.63
22,10,4998.36
16,8,1881.63
34,4,3892.87
9,3,1244.66
335,1,298.93
4,10,4859.93
38,1,424.40000000000003
62,2,227.21
165,2,362.79
15,7,1000.3000000000001
81,1,953.1
20,3,349.70000000000005
22,11,4026.27
336,1,1945.68
95,5,2995.87
17,2,92.65
232,1,73.5
133,3,1011.56
25,2,397.88
283,1,158.5
142,2,814.5699999999999
65,2,132.18
112,1,532.79
266,1,1017.68
352,1,278.7
77,2,1186.06
27,4,2263.65
0,5,1840.89
63,1,276.84
78,5,2294.51
142,1,545.68
38,2,156.72
18,11,1655.57
8,8,3945.72
0,3,1172.66
81,3,330.71000000000004
8,6,1634.28
59,4,1461.63
14,1,125.22
29,1,313.83000000000004
130,1,981.18
91,2,716.35
58,1,4151.26
28,1,363.95
21,4,5568.35
29,3,841.18
35,1,299.7
74,2,832.39
46,2,1001.5
197,2,151.79999999999998
165,1,67.19999999999999
78,1,824.83
357,1,168.0
39,1,317.82
7,10,3238.25
49,2,599.56
7,1,0.0
310,2,500.21000000000004
4,2,1894.31
302,1,238.85
7,7,3385.7400000000002
260,1,402.9
288,1,131.17
85,1,292.7
39,2,519.61
8,2,896.72
226,1,160.54000000000002
315,1,182.45000000000002
35,5,1306.98
34,3,560.25
20,2,2380.26
77,1,374.72
246,1,379.7
39,1,179.71
238,2,351.36
3,9,1834.75
233,2,1768.51
16,1,196.94000000000003
7,1,104.0
38,1,174.89999999999998
28,2,574.68
316,1,368.85
91,2,401.6
108,3,382.09999999999997
37,9,3208.2200000000003
50,2,450.27
18,4,3067.13
9,7,2786.68
28,7,888.58
28,10,2311.04
189,5,479.56
58,1,153.12
21,1,613.1999999999999
78,2,236.18
59,1,0.0
77,3,964.85
22,4,1705.99
51,1,1193.32
73,1,607.59
56,4,2966.98
277,1,315.6
1,4,2093.19
94,2,585.25
28,1,352.98
21,1,137.31
15,8,2908.81
14,3,1303.41
231,1,162.1
275,1,269.1
105,2,569.13
211,2,2367.42
10,6,4082.53
3,3,715.61
9,2,1030.88
56,1,480.5
58,4,1906.63
89,2,1509.18
32,1,511.69
238,1,366.1
23,3,994.58
114,1,145.9
24,3,905.26
127,6,3041.64
129,1,477.91
33,4,1611.38
4,2,1346.97
21,12,3095.92
154,1,300.05
106,3,569.51
2,1,242.44000000000003
334,1,114.0
330,1,788.53
148,2,2209.85
10,5,529.98
16,5,3590.57
10,4,1008.0600000000001
18,1,632.05
29,1,73.68
10,1,227.1
0,11,3511.08
7,9,4391.88
324,1,45.0
57,1,460.13
11,4,3113.18
150,2,1427.73
9,5,2734.15
329,1,225.89999999999998
4,2,574.52
38,4,1799.31
24,6,1091.39
58,4,912.71
0,4,790.81
7,6,2073.63
27,6,2575.08
371,1,71.14
113,1,4873.8099999999995
25,2,1139.61
205,1,335.01
27,5,927.8
126,4,686.96
69,2,761.67
6,4,582.1
28,3,739.02
7,4,4525.99
79,2,725.71
19,1,201.0
70,1,256.7
6,8,1740.84
291,1,603.42
29,10,2346.32
96,3,1004.57
28,13,3804.38
0,1,794.55
8,5,4294.86
105,1,263.36
3,2,963.49
150,2,830.98
70,1,202.25
4,2,536.1
31,6,2386.13
84,4,932.98
3,5,707.07
4,4,923.41
370,1,371.8
27,7,2411.1
10,7,3425.7
70,4,728.33
113,1,417.01
179,1,218.26000000000002
233,1,383.95
352,1,110.39999999999999
314,2,689.5699999999999
332,1,144.0
371,1,137.35
98,1,975.54
63,1,427.6
133,2,540.13
1,11,4196.01
3,5,3818.2
128,1,275.88
80,1,4366.78
235,3,3010.74
280,2,2220.75
86,1,112.07999999999998
15,9,4161.75
116,2,2791.59
51,3,1411.44
7,2,1702.52
137,2,494.08
316,1,1693.88
238,1,1143.6
210,1,1351.45
59,1,752.47
16,5,1246.24
19,6,693.23
37,8,3868.7
63,2,729.23
4,5,1881.3200000000002
1,4,1295.87
14,1,476.82
363,1,250.1
9,3,418.66
64,1,76.85
191,1,294.92
373,1,177.60000000000002
256,1,344.53999999999996
334,2,461.48
52,2,860.41
18,1,318.48
365,1,166.18
186,1,382.58
36,3,455.65000000000003
177,1,400.36
261,2,458.85
44,1,229.64000000000001
101,1,85.92
147,2,863.46
95,2,452.20000000000005
280,1,126.03999999999999
261,1,1160.38
2,4,942.34
213,1,92.72
70,2,918.98
74,5,1759.5
59,1,397.12
2,7,1468.1200000000001
5,3,430.15000000000003
2,6,1018.71
336,2,253.05
261,1,215.05
31,2,383.03
144,1,417.38
282,1,312.38
58,4,2610.36
172,1,134.1
33,2,671.95
143,4,2715.92
69,2,1118.99
65,8,1680.76
28,2,325.96000000000004
266,4,354.09
21,1,843.64
30,2,992.65
96,1,131.81
294,1,299.75
134,6,1881.7
78,3,1299.55
372,1,38.1
7,6,2153.53
210,2,1106.4
51,1,521.2
137,1,147.12
25,2,1568.23
282,1,499.12
25,7,3970.47
185,6,1607.0600000000002
83,2,380.64
326,2,599.97
281,1,374.0
142,2,343.2300000000001
57,2,2053.02
3,12,1535.77
235,2,841.64
44,3,555.37
275,1,298.0
8,2,1463.04
24,4,703.47
87,1,309.05
62,3,1158.27
67,2,1351.09
213,2,313.77
23,1,376.71999999999997
185,3,331.0
30,1,176.55
41,2,347.3
204,2,216.5
264,1,138.68
17,2,496.06
11,5,2919.81
175,2,750.0
39,5,2143.68
22,8,3075.04
2,5,1662.3
4,5,2483.63
148,2,363.65
138,4,2923.15
127,1,594.0
7,6,1301.44
16,1,162.78
160,1,405.38
63,1,171.57
87,4,922.36
4,2,694.05
34,5,2062.7000000000003
311,1,102.9
77,2,412.85
23,3,607.53
1,7,2156.45
16,4,1012.9
14,4,1504.27
25,1,114.14
54,2,863.6899999999999
130,3,675.6
35,2,604.51
287,1,462.95
143,6,1407.29
15,7,2053.7
30,8,4143.02
1,3,1843.0
8,6,1050.57
5,4,1382.8400000000001
9,1,329.85
0,11,4737.21
305,1,108.07
9,8,3979.04
6,2,266.39
7,8,1856.63
88,1,769.8100000000001
9,1,160.18
357,2,1204.3
111,1,135.95
6,4,405.47
197,1,144.8
211,1,738.6
155,1,39.239999999999995
29,2,372.21999999999997
242,1,377.2
18,1,97.5
0,2,1215.6200000000001
73,2,545.0
291,1,505.82
30,3,409.5
22,2,503.76
22,4,414.76
3,3,902.22
84,1,200.72
21,4,1197.94
195,3,455.88
106,3,534.85
317,1,120.94999999999999
105,3,149.05
173,2,468.95
55,1,81.57
322,1,229.46999999999997
371,1,50.550000000000004
8,8,1301.72
0,13,4790.74
10,10,3367.0299999999997
52,5,3339.64
72,3,789.89
6,1,204.0
3,9,2611.4300000000003
63,2,599.9
0,5,958.77
22,2,659.68
30,3,1247.5
10,2,752.4399999999999
51,2,996.52
356,1,190.55
54,2,642.77
73,2,887.13
137,3,881.07
79,3,908.46
8,2,676.99
272,1,471.57
